trial_number,receive_time,node,ts,px,py,yaw,temp
1,1778095460.5287485,1,19583,4.820237e-07,3.623859e-06,4.558584e-06,33.6
1,1778095460.5692704,1,19633,-5.533433e-06,1e-05,0.00046,34.6
1,1778095460.6169732,1,19683,-3.6e-05,3.6e-05,0.000924,34.6
1,1778095460.6842668,1,19749,-8e-05,0.0001,0.001512,34.6
1,1778095460.7234166,1,19783,-0.000108,0.00015,0.001759,34.6
1,1778095460.7802489,1,19840,-0.00016,0.000247,0.002291,34.6
1,1778095460.8649929,1,19933,-0.000272,0.000459,0.003217,34.6
1,1778095460.9653282,1,20033,-0.000421,0.000755,0.004137,34.6
1,1778095461.0653267,1,20133,-0.000596,0.001147,0.004974,34.6
1,1778095461.1760843,1,20233,-0.000837,0.001619,0.006037,35.6
1,1778095461.2188554,1,20284,-0.000984,0.001877,0.006517,35.6
1,1778095461.3163404,1,20383,-0.001306,0.002412,0.007449,34.6
1,1778095461.4681132,1,20533,-0.001869,0.003381,0.008697,35.6
1,1778095461.5149393,1,20583,-0.002136,0.003829,0.009273,35.6
1,1778095461.7149477,1,20783,-0.003133,0.005554,0.0112,35.6
1,1778095461.8150408,1,20883,-0.003692,0.006527,0.012171,35.6
1,1778095461.8649836,1,20933,-0.004002,0.007025,0.012613,35.6
1,1778095461.9173148,1,20983,-0.004228,0.007385,0.012998,35.6
1,1778095462.0280137,1,21095,-0.00506,0.008738,0.014191,35.6
1,1778095462.2163317,1,21283,-0.006474,0.010992,0.016041,35.6
1,1778095462.2655401,1,21333,-0.006884,0.011628,0.016427,35.6
1,1778095462.314938,1,21383,-0.007311,0.012285,0.016877,35.6
1,1778095462.4161398,1,21483,-0.008191,0.013648,0.017763,35.6
1,1778095462.5251865,1,21550,-0.008833,0.01464,0.018356,35.6
1,1778095462.5279605,1,21583,-0.009117,0.015073,0.018769,36.6
1,1778095462.6152842,1,21683,-0.010073,0.016499,0.019764,35.6
1,1778095462.6668973,1,21733,-0.010641,0.017349,0.020196,35.6
1,1778095462.9663079,1,22033,-0.013991,0.022368,0.02313,35.6
1,1778095463.0260766,1,22090,-0.014576,0.023268,0.023526,35.6
1,1778095463.1149657,1,22183,-0.015753,0.025105,0.024479,35.6
1,1778095463.3180137,1,22383,-0.018282,0.028994,0.02665,35.6
1,1778095463.4149017,1,22483,-0.019631,0.031029,0.027621,35.6
1,1778095463.5156875,1,22583,-0.021003,0.033112,0.028678,36.6
1,1778095463.6156406,1,22683,-0.022404,0.03527,0.029712,36.6
1,1778095463.6672559,1,22733,-0.023046,0.036269,0.030102,36.6
1,1778095463.7151208,1,22783,-0.023691,0.037282,0.030531,36.6
1,1778095463.9648023,1,23033,-0.027586,0.043392,0.033089,36.6
1,1778095464.1172533,1,23183,-0.029882,0.047008,0.034382,36.6
1,1778095464.2166743,1,23283,-0.031592,0.04969,0.035278,36.6
1,1778095464.314768,1,23383,-0.033163,0.052197,0.036052,36.6
1,1778095464.3777964,1,23441,-0.034266,0.053953,0.036593,36.6
1,1778095464.4162107,1,23483,-0.034962,0.055048,0.036945,36.6
1,1778095464.464928,1,23533,-0.035842,0.056436,0.037415,36.6
1,1778095464.5150084,1,23583,-0.036739,0.057842,0.037893,36.6
1,1778095464.566093,1,23633,-0.037649,0.059273,0.038359,36.6
1,1778095464.6151774,1,23683,-0.038475,0.060583,0.038779,36.6
1,1778095464.8029013,1,23833,-0.041356,0.065179,0.040445,37.6
1,1778095464.8232472,1,23892,-0.042495,0.066997,0.041208,37.6
1,1778095464.8652108,1,23933,-0.043161,0.068078,0.041523,37.6
1,1778095464.9159224,1,23983,-0.044217,0.069797,0.042071,36.6
1,1778095464.9661465,1,24033,-0.045191,0.071388,0.042503,36.6
1,1778095465.1191506,1,24183,-0.048163,0.076252,0.043949,36.6
1,1778095465.1980512,1,24251,-0.049577,0.078565,0.04477,37.6
1,1778095465.3156276,1,24383,-0.052287,0.082968,0.046054,37.6
1,1778095465.3721743,1,24433,-0.053345,0.084692,0.046475,37.6
1,1778095465.5199525,1,24583,-0.056399,0.08958,0.04781,37.6
1,1778095465.5663092,1,24633,-0.057736,0.091716,0.048413,37.6
1,1778095465.6340377,1,24701,-0.059314,0.094252,0.049001,37.6
1,1778095465.8657875,1,24933,-0.064684,0.102731,0.051375,37.6
1,1778095465.915926,1,24983,-0.065879,0.104619,0.051794,37.6
1,1778095465.9648964,1,25033,-0.066963,0.106329,0.052201,37.6
1,1778095466.2169468,1,25283,-0.073338,0.116263,0.055094,37.6
1,1778095466.2653148,1,25333,-0.074622,0.118283,0.055562,37.6
1,1778095466.3168116,1,25383,-0.075906,0.120329,0.055962,37.6
1,1778095466.4160044,1,25483,-0.078367,0.124263,0.056848,37.6
1,1778095466.5542712,1,25602,-0.081667,0.12953,0.058083,37.6
1,1778095466.5647993,1,25633,-0.082331,0.130599,0.05841,38.6
1,1778095466.6530232,1,25692,-0.08407,0.133395,0.05896,38.6
1,1778095466.6648107,1,25733,-0.085146,0.135129,0.059369,38.6
1,1778095466.7197332,1,25783,-0.086499,0.137314,0.059813,37.6
1,1778095466.8165746,1,25883,-0.089212,0.141728,0.060837,37.6
